Year,Category,Value
1900,,295.6749984
1901,,296.006998
1902,,296.3249974
1903,,296.6539968
1904,,296.9539963
1905,,297.2889957
1906,,297.6619951
1907,,298.0979945
1908,,298.517994
1909,,298.9359935
1910,,299.3769929
1911,,299.8289923
1912,,300.3529917
1913,,300.9099911
1914,,301.4189908
1915,,301.9369903
1916,,302.4849897
1917,,303.0109891
1918,,303.4489886
1919,,303.8139883
1920,,304.2459877
1921,,304.5999873
1922,,304.9449868
1923,,305.2709861
1924,,305.6299855
1925,,305.812985
1926,,305.9539845
1927,,306.1769839
1928,,306.3289833
1929,,306.4949827
1930,,306.6199824
1931,,306.8219821
1932,,307.0929818
1933,,307.4019813
1934,,307.7849806
1935,,308.22698
1936,,309.0119793
1937,,309.7639786
1938,,310.2939782
1939,,310.8509776
1940,,311.3569769
1941,,311.8109763
1942,,312.1719757
1943,,312.3899752
1944,,312.4129748
1945,,312.3849746
1946,,312.389974
1947,,312.4859732
1948,,312.5209725
1949,,312.6319721
1950,,312.8209713
1951,,313.0139706
1952,,313.34197
1953,,313.7299694
1954,,314.0949688
1955,,314.414968
1956,,314.6979672
1957,,314.9919665
1958,,315.3449659
1959,,315.8069651
1960,,316.6249644
1961,,317.2989638
1962,,318.0439631
1963,,318.6499622
1964,,319.3329614
1965,,319.8159605
1966,,320.8799597
1967,,321.4799589
1968,,322.388958
1969,,323.250957
1970,,324.7829559
1971,,325.399955
1972,,327.3489541
1973,,329.9089531
1974,,330.7559525
1975,,330.826952
1976,,331.544951
1977,,333.3529501
1978,,335.0099494
1979,,336.6049484
1980,,338.7049479
1981,,340.0589478
1982,,340.6439474
1983,,342.2659473
1984,,344.0079495
1985,,345.4589538
1986,,346.9029481
1987,,348.7749474
1988,,351.2759329
1989,,352.8939214
1990,,354.0729301
1991,,355.3529349
1992,,356.2289489
1993,,356.9249589
1994,,358.2539622
1995,,360.2389564
1996,,362.0049615
1997,,363.2519618
1998,,365.932958
1999,,367.8449748
2000,,369.12498
2001,,370.6729901
2002,,372.8349943
2003,,375.410995
2004,,376.9870025
2005,,378.907005
2006,,381.010007
2007,,382.6030247
2008,,384.7390186
2009,,386.280019
2010,,388.7170293
2011,,390.9440147
2012,,393.0159927
2013,,395.7249793
2014,,397.5469769
1900,A,295.8000656
1901,A,296.1356135
1902,A,296.4573688
1903,A,296.7943239
1904,A,297.0974852
1905,A,297.4393688
1906,A,297.8204274
1907,A,298.2696197
1908,A,298.688272
1909,A,299.1109556
1910,A,299.5586801
1911,A,300.0147349
1912,A,300.5465939
1913,A,301.1128124
1914,A,301.6109793
1915,A,302.1270902
1916,A,302.6856127
1917,A,303.2191939
1918,A,303.6536358
1919,A,304.0035793
1920,A,304.4489034
1921,A,304.7900974
1922,A,305.1413843
1923,A,305.4860361
1924,A,305.8482885
1925,A,306.0320695
1926,A,306.1729856
1927,A,306.4088866
1928,A,306.5653385
1929,A,306.7407955
1930,A,306.8521623
1931,A,307.0335526
1932,A,307.2894448
1933,A,307.6047833
1934,A,308.0015371
1935,A,308.4549839
1936,A,309.2578251
1937,A,310.0218284
1938,A,310.5448532
1939,A,311.1123681
1940,A,311.6368515
1941,A,312.0989294
1942,A,312.4635435
1943,A,312.6873381
1944,A,312.7044387
1945,A,312.6470756
1946,A,312.6645605
1947,A,312.7844347
1948,A,312.8324353
1949,A,312.9421198
1950,A,313.1494528
1951,A,313.3625461
1952,A,313.6980885
1953,A,314.0943926
1954,A,314.4694317
1955,A,314.8183742
1956,A,315.1256734
1957,A,315.4337273
1958,A,315.8001212
1959,A,316.2831317
1960,A,317.1213429
1961,A,317.8022529
1962,A,318.5670019
1963,A,319.201766
1964,A,319.9161638
1965,A,320.4274214
1966,A,321.5211479
1967,A,322.1451258
1968,A,323.0881319
1969,A,323.9935837
1970,A,325.57605
1971,A,326.2274106
1972,A,328.2115309
1973,A,330.8118172
1974,A,331.6651701
1975,A,331.7387244
1976,A,332.5005054
1977,A,334.3410934
1978,A,336.0182475
1979,A,337.6558636
1980,A,339.7500358
1981,A,341.0766325
1982,A,341.6506388
1983,A,343.2427195
1984,A,344.8337342
1985,A,346.3065778
1986,A,347.8428818
1987,A,349.5826645
1988,A,352.2609695
1989,A,354.0004347
1990,A,355.1416936
1991,A,356.485707
1992,A,357.2167312
1993,A,357.8879375
1994,A,359.4373301
1995,A,361.4953208
1996,A,363.4075214
1997,A,364.581625
1998,A,367.2764274
1999,A,369.3271858
2000,A,370.7047027
2001,A,372.2627683
2002,A,374.4088858
2003,A,377.1628067
2004,A,378.6398307
2005,A,380.6069988
2006,A,382.8308497
2007,A,384.3138054
2008,A,386.5041836
2009,A,388.021677
2010,A,390.784658
2011,A,393.0411537
2012,A,395.0362063
2013,A,397.714917
2014,A,399.5909173
1900,B,295.5499313
1901,B,295.8783824
1902,B,296.192626
1903,B,296.5136698
1904,B,296.8105074
1905,B,297.1386227
1906,B,297.5035628
1907,B,297.9263693
1908,B,298.347716
1909,B,298.7610313
1910,B,299.1953056
1911,B,299.6432497
1912,B,300.1593896
1913,B,300.7071699
