Year,Units,Observation status,Unit multiplier,Unit measure,Flight category,Value
2000,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2001,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2002,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2003,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2004,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2005,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2006,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2007,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2008,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2009,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2010,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2011,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2012,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2013,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2014,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2015,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
2016,Percentage of population with access to clean fuels and technologies for cooking,Undefined,Units,Percentage (%),,100
1990,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,0.7
1991,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,0.7
1992,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,0.7
1993,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,0.8
1994,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1
1995,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.1
1996,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.1
1997,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.2
1998,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.3
1999,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.3
2000,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.4
2001,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.4
2002,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.6
2003,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.7
2004,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,1.9
2005,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,2.2
2006,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,2.3
2007,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,2.5
2008,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,3
2009,Percentage of total energy consumption from renewable sources,Undefined,Units,Percentage (%),,3.6
