Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2008,Particulate matter (PM),PM 10,Aberdeen City,Undefined,Units,microgram/m3,S12000033,16.8705
2011,Particulate matter (PM),PM 10,Aberdeen City,Undefined,Units,microgram/m3,S12000033,13.748
2013,Particulate matter (PM),PM 10,Aberdeen City,Undefined,Units,microgram/m3,S12000033,13.48377509
2013,Particulate matter (PM),,Aberdeen City,Undefined,Units,microgram/m3,S12000033,8.59032169
2016,Particulate matter (PM),PM 10,Aberdeen City,Undefined,Units,microgram/m3,S12000033,8
2016,Particulate matter (PM),,Aberdeen City,Undefined,Units,microgram/m3,S12000033,5
2013,Particulate matter (PM),PM 10,Armagh,Undefined,Units,microgram/m3,,19.0223524
2013,Particulate matter (PM),,Armagh,Undefined,Units,microgram/m3,,13.5264164
2016,Particulate matter (PM),PM 10,Barnstaple,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Barnstaple,Undefined,Units,microgram/m3,,11
2008,Particulate matter (PM),PM 10,Belfast,Undefined,Units,microgram/m3,N09000003,18.325
2013,Particulate matter (PM),PM 10,Belfast,Undefined,Units,microgram/m3,N09000003,17.65008496
2013,Particulate matter (PM),,Belfast,Undefined,Units,microgram/m3,N09000003,11.5633861
2016,Particulate matter (PM),PM 10,Belfast,Undefined,Units,microgram/m3,N09000003,19
2016,Particulate matter (PM),,Belfast,Undefined,Units,microgram/m3,N09000003,10
2013,Particulate matter (PM),PM 10,Birkenhead,Undefined,Units,microgram/m3,,15.12115842
2013,Particulate matter (PM),,Birkenhead,Undefined,Units,microgram/m3,,10.75235496
2016,Particulate matter (PM),PM 10,Birkenhead,Undefined,Units,microgram/m3,,11
2016,Particulate matter (PM),,Birkenhead,Undefined,Units,microgram/m3,,8
2008,Particulate matter (PM),PM 10,Birmingham,Undefined,Units,microgram/m3,E08000025,15.627
2011,Particulate matter (PM),PM 10,Birmingham,Undefined,Units,microgram/m3,E08000025,23.02
2013,Particulate matter (PM),PM 10,Birmingham,Undefined,Units,microgram/m3,E08000025,18.54028182
2013,Particulate matter (PM),,Birmingham,Undefined,Units,microgram/m3,E08000025,14.26939717
2016,Particulate matter (PM),PM 10,Birmingham,Undefined,Units,microgram/m3,E08000025,16
2016,Particulate matter (PM),,Birmingham,Undefined,Units,microgram/m3,E08000025,10
2008,Particulate matter (PM),PM 10,Blackpool,Undefined,Units,microgram/m3,E06000009,17.247
2016,Particulate matter (PM),PM 10,Blackpool,Undefined,Units,microgram/m3,E06000009,11
2016,Particulate matter (PM),,Blackpool,Undefined,Units,microgram/m3,E06000009,8
2008,Particulate matter (PM),PM 10,Bournemouth,Undefined,Units,microgram/m3,E06000028,20.675
2013,Particulate matter (PM),PM 10,Bournemouth,Undefined,Units,microgram/m3,E06000028,12.92186779
2013,Particulate matter (PM),,Bournemouth,Undefined,Units,microgram/m3,E06000028,9.18848314
2016,Particulate matter (PM),PM 10,Bournemouth,Undefined,Units,microgram/m3,E06000028,11
2016,Particulate matter (PM),,Bournemouth,Undefined,Units,microgram/m3,E06000028,7
2013,Particulate matter (PM),PM 10,Brighton and Hove,Undefined,Units,microgram/m3,E06000043,15.72547551
2013,Particulate matter (PM),,Brighton and Hove,Undefined,Units,microgram/m3,E06000043,11.18207282
2016,Particulate matter (PM),PM 10,Brighton and Hove,Undefined,Units,microgram/m3,E06000043,13
2016,Particulate matter (PM),,Brighton and Hove,Undefined,Units,microgram/m3,E06000043,9
2008,Particulate matter (PM),PM 10,Bristol,Undefined,Units,microgram/m3,E06000023,20.503
2011,Particulate matter (PM),PM 10,Bristol,Undefined,Units,microgram/m3,E06000023,20.426
2013,Particulate matter (PM),PM 10,Bristol,Undefined,Units,microgram/m3,E06000023,17.70076199
2013,Particulate matter (PM),,Bristol,Undefined,Units,microgram/m3,E06000023,12.80943467
2013,Particulate matter (PM),PM 10,Bristol,Undefined,Units,microgram/m3,E06000023,19
2013,Particulate matter (PM),,Bristol,Undefined,Units,microgram/m3,E06000023,13
2008,Particulate matter (PM),PM 10,Cardiff,Undefined,Units,microgram/m3,W06000015,19.962
2013,Particulate matter (PM),PM 10,Cardiff,Undefined,Units,microgram/m3,W06000015,18.94905122
2013,Particulate matter (PM),,Cardiff,Undefined,Units,microgram/m3,W06000015,13.51017808
2016,Particulate matter (PM),PM 10,Cardiff,Undefined,Units,microgram/m3,W06000015,14
2016,Particulate matter (PM),,Cardiff,Undefined,Units,microgram/m3,W06000015,10
2013,Particulate matter (PM),PM 10,Carlisle,Undefined,Units,microgram/m3,E07000028,16.44821375
2013,Particulate matter (PM),,Carlisle,Undefined,Units,microgram/m3,E07000028,11.69599761
2014,Particulate matter (PM),PM 10,Carlisle,Undefined,Units,microgram/m3,E07000028,16
2014,Particulate matter (PM),,Carlisle,Undefined,Units,microgram/m3,E07000028,11
2013,Particulate matter (PM),PM 10,Chepstow,Undefined,Units,microgram/m3,,19.3924669
