Year,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,,,,Percentage (%),Units,Undefined,,35.19606899
2016,,,,Percentage (%),Units,Undefined,,34.87146391
2017,,,,Percentage (%),Units,Undefined,,35.11507851
2018,,,,Percentage (%),Units,Undefined,,35.41935484
2015,High,,,Percentage (%),Units,Undefined,,4.316408132
2016,High,,,Percentage (%),Units,Undefined,,4.96934495
2017,High,,,Percentage (%),Units,Undefined,,4.872015487
2018,High,,,Percentage (%),Units,Undefined,,4.774193548
2015,Good,,,Percentage (%),Units,Undefined,,30.87966085
2016,Good,,,Percentage (%),Units,Undefined,,29.90211896
2017,Good,,,Percentage (%),Units,Undefined,,30.24306302
2018,Good,,,Percentage (%),Units,Undefined,,30.64516129
2015,,Rivers and canals,,Percentage (%),Units,Undefined,,31.47148557
2016,,Rivers and canals,,Percentage (%),Units,Undefined,,31.60358433
2017,,Rivers and canals,,Percentage (%),Units,Undefined,,31.48816687
2018,,Rivers and canals,,Percentage (%),Units,Undefined,,31.92086619
2015,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.076977235
2016,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.40738264
2017,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.473592726
2018,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.392728245
2015,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.39450833
2016,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.19620169
2017,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.01457414
2018,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.52813795
2015,,Lakes,,Percentage (%),Units,Undefined,,37.57961783
2016,,Lakes,,Percentage (%),Units,Undefined,,31.08614232
2017,,Lakes,,Percentage (%),Units,Undefined,,31.3670412
2018,,Lakes,,Percentage (%),Units,Undefined,,31.55430712
2015,High,Lakes,,Percentage (%),Units,Undefined,,9.463148317
2016,High,Lakes,,Percentage (%),Units,Undefined,,9.925093633
2017,High,Lakes,,Percentage (%),Units,Undefined,,10.11235955
2018,High,Lakes,,Percentage (%),Units,Undefined,,10.01872659
2015,Good,Lakes,,Percentage (%),Units,Undefined,,28.11646952
2016,Good,Lakes,,Percentage (%),Units,Undefined,,21.16104869
2017,Good,Lakes,,Percentage (%),Units,Undefined,,21.25468165
2018,Good,Lakes,,Percentage (%),Units,Undefined,,21.53558052
2015,,Estuaries and Coastal,,Percentage (%),Units,Undefined,,73.61477573
2016,,Estuaries and Coastal,,Percentage (%),Units,Undefined,,72.7393617
2017,,Estuaries and Coastal,,Percentage (%),Units,Undefined,,76.56458056
2018,,Estuaries and Coastal,,Percentage (%),Units,Undefined,,75.76564581
2015,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,22.03166227
2016,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,23.40425532
2017,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,21.30492676
2018,High,Estuaries and Coastal,,Percentage (%),Units,Undefined,,21.03861518
2015,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,51.58311346
2016,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,49.33510638
2017,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,55.25965379
2018,Good,Estuaries and Coastal,,Percentage (%),Units,Undefined,,54.72703063
2018,,,England,Percentage (%),Units,Undefined,E92000001,16
2018,High,,England,Percentage (%),Units,Undefined,E92000001,0
2018,Good,,England,Percentage (%),Units,Undefined,E92000001,16
