Year,Units,Sustainably managed status,Country,Sustainably managed status,Unit measure,Unit multiplier,Observation status,Unit measure,GeoCode,Value
2017,Mountain Green Cover Index,,,,,Units,Undefined,Index,,75.862069
2001,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,2971293.728
2001,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1257011.11
2001,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,300229.9368
2001,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1331052.682
2001,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,83000
2002,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,2985420.755
2002,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1261985.424
2002,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,300500.9343
2002,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1338934.396
2002,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,84000
2003,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,
2003,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,
2003,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,
2003,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,
2003,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,
2004,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3011039.797
2004,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1271745.549
2004,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,301287.8792
2004,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1352206.369
2004,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,85800
2005,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3021343.728
2005,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1276695.301
2005,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,301804.1439
2005,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1357784.282
2005,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,85060
2006,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3029698.595
2006,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1280081.327
2006,Progress towards sustainable forest management (Hectares of woodland),,Wales,,Hectares,Units,Undefined,,W92000004,302276.3121
2006,Progress towards sustainable forest management (Hectares of woodland),,Scotland,,Hectares,Units,Undefined,,S92000003,1361700.956
2006,Progress towards sustainable forest management (Hectares of woodland),,Northern Ireland,,Hectares,Units,Undefined,,N92000002,85640
2007,Progress towards sustainable forest management (Hectares of woodland),,,,Hectares,Units,Undefined,,,3040799.397
2007,Progress towards sustainable forest management (Hectares of woodland),,England,,Hectares,Units,Undefined,,E92000001,1283020.345
