Year,Units,Status classification,Water body category,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,Proportion of bodies of water with good ambient water quality,,,,Percentage (%),Units,Undefined,,35.19606899
2016,Proportion of bodies of water with good ambient water quality,,,,Percentage (%),Units,Undefined,,34.87146391
2017,Proportion of bodies of water with good ambient water quality,,,,Percentage (%),Units,Undefined,,35.11507851
2018,Proportion of bodies of water with good ambient water quality,,,,Percentage (%),Units,Undefined,,35.41935484
2015,Proportion of bodies of water with good ambient water quality,High,,,Percentage (%),Units,Undefined,,4.316408132
2016,Proportion of bodies of water with good ambient water quality,High,,,Percentage (%),Units,Undefined,,4.96934495
2017,Proportion of bodies of water with good ambient water quality,High,,,Percentage (%),Units,Undefined,,4.872015487
2018,Proportion of bodies of water with good ambient water quality,High,,,Percentage (%),Units,Undefined,,4.774193548
2015,Proportion of bodies of water with good ambient water quality,Good,,,Percentage (%),Units,Undefined,,30.87966085
2016,Proportion of bodies of water with good ambient water quality,Good,,,Percentage (%),Units,Undefined,,29.90211896
2017,Proportion of bodies of water with good ambient water quality,Good,,,Percentage (%),Units,Undefined,,30.24306302
2018,Proportion of bodies of water with good ambient water quality,Good,,,Percentage (%),Units,Undefined,,30.64516129
2015,Proportion of bodies of water with good ambient water quality,,Rivers and canals,,Percentage (%),Units,Undefined,,31.47148557
2016,Proportion of bodies of water with good ambient water quality,,Rivers and canals,,Percentage (%),Units,Undefined,,31.60358433
2017,Proportion of bodies of water with good ambient water quality,,Rivers and canals,,Percentage (%),Units,Undefined,,31.48816687
2018,Proportion of bodies of water with good ambient water quality,,Rivers and canals,,Percentage (%),Units,Undefined,,31.92086619
2015,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.076977235
2016,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.40738264
2017,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.473592726
2018,Proportion of bodies of water with good ambient water quality,High,Rivers and canals,,Percentage (%),Units,Undefined,,2.392728245
2015,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.39450833
2016,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.19620169
2017,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.01457414
2018,Proportion of bodies of water with good ambient water quality,Good,Rivers and canals,,Percentage (%),Units,Undefined,,29.52813795
2015,Proportion of bodies of water with good ambient water quality,,Lakes,,Percentage (%),Units,Undefined,,37.57961783
2016,Proportion of bodies of water with good ambient water quality,,Lakes,,Percentage (%),Units,Undefined,,31.08614232
2017,Proportion of bodies of water with good ambient water quality,,Lakes,,Percentage (%),Units,Undefined,,31.3670412
2018,Proportion of bodies of water with good ambient water quality,,Lakes,,Percentage (%),Units,Undefined,,31.55430712
2015,Proportion of bodies of water with good ambient water quality,High,Lakes,,Percentage (%),Units,Undefined,,9.463148317
2016,Proportion of bodies of water with good ambient water quality,High,Lakes,,Percentage (%),Units,Undefined,,9.925093633
2017,Proportion of bodies of water with good ambient water quality,High,Lakes,,Percentage (%),Units,Undefined,,10.11235955
2018,Proportion of bodies of water with good ambient water quality,High,Lakes,,Percentage (%),Units,Undefined,,10.01872659
2015,Proportion of bodies of water with good ambient water quality,Good,Lakes,,Percentage (%),Units,Undefined,,28.11646952
2016,Proportion of bodies of water with good ambient water quality,Good,Lakes,,Percentage (%),Units,Undefined,,21.16104869
2017,Proportion of bodies of water with good ambient water quality,Good,Lakes,,Percentage (%),Units,Undefined,,21.25468165
2018,Proportion of bodies of water with good ambient water quality,Good,Lakes,,Percentage (%),Units,Undefined,,21.53558052
2015,Proportion of bodies of water with good ambient water quality,,Estuaries and Coastal,,Percentage (%),Units,Undefined,,73.61477573
