Year,Country,Energy category,Energy sub-category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,,,,Undefined,Units,Percentage (%),,0.443904014
2015,,,,Undefined,Units,Percentage (%),,0.286408325
2016,,,,Undefined,Units,Percentage (%),,0.448657585
2014,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.33154623
2014,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.078680253
2014,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.070660502
2014,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.098919284
2014,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.005960625
2014,,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),,0.076160534
2014,,Low carbon heat,,Undefined,Units,Percentage (%),,0.023896688
2014,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.001896563
2014,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.022000126
2014,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.055000314
2014,,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),,0.054566814
2014,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.0004335
2014,,Energy efficient products,,Undefined,Units,Percentage (%),,0.025441032
2014,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.001381781
2014,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.020916376
2014,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.003115781
2014,,Low carbon services,,Undefined,Units,Percentage (%),,0.000948281
2014,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.000948281
2014,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.007071469
2014,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.006908906
2014,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.000162563
2015,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.225971112
2015,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.037644204
2015,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.070099754
2015,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.08505684
2015,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.006962325
2015,,Low carbon heat,,Undefined,Units,Percentage (%),,0.00243549
2015,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.000158836
