Year,Units,Observation status,Unit multiplier,Value
2005,Water exploitation index (%),Undefined,Units,6
2006,Water exploitation index (%),Undefined,Units,5.4
2007,Water exploitation index (%),Undefined,Units,5
2008,Water exploitation index (%),Undefined,Units,4.8
2009,Water exploitation index (%),Undefined,Units,4.8
2010,Water exploitation index (%),Undefined,Units,4.8
2011,Water exploitation index (%),Undefined,Units,4.4
2012,Water exploitation index (%),Undefined,Units,4.8
2013,Water exploitation index (%),Undefined,Units,
2014,Water exploitation index (%),Undefined,Units,4.2
