Year,Category,Value
1900,,295.6749984
1901,,296.006998
1902,,296.3249974
1903,,296.6539968
1904,,296.9539963
1905,,297.2889957
1906,,297.6619951
1907,,298.09799449999997
1908,,298.517994
1909,,298.9359935
1910,,299.37699289999995
1911,,299.8289923
1912,,300.3529917
1913,,300.9099911
1914,,301.4189908
1915,,301.9369903
1916,,302.48498969999997
1917,,303.0109891
1918,,303.44898860000006
1919,,303.8139883
1920,,304.2459877
1921,,304.5999873
1922,,304.94498680000004
1923,,305.2709861
1924,,305.6299855
1925,,305.812985
1926,,305.95398450000005
1927,,306.1769839
1928,,306.3289833
1929,,306.4949827
1930,,306.61998239999997
1931,,306.82198210000007
1932,,307.0929818
1933,,307.4019813
1934,,307.78498060000004
1935,,308.22697999999997
1936,,309.0119793
1937,,309.76397860000003
1938,,310.29397819999997
1939,,310.8509776
1940,,311.3569769
1941,,311.81097630000005
1942,,312.17197569999996
1943,,312.3899752
1944,,312.41297480000003
1945,,312.3849746
1946,,312.389974
1947,,312.4859732
1948,,312.5209725
1949,,312.63197210000004
1950,,312.8209713
1951,,313.01397060000005
1952,,313.34197
1953,,313.72996939999996
1954,,314.0949688
1955,,314.41496800000004
1956,,314.6979672
1957,,314.9919665
1958,,315.3449659
1959,,315.8069651
1960,,316.6249644
1961,,317.2989638
1962,,318.0439631
1963,,318.6499622
1964,,319.33296139999993
1965,,319.8159605
1966,,320.87995970000003
1967,,321.4799589
1968,,322.388958
1969,,323.25095699999997
1970,,324.7829559
1971,,325.399955
1972,,327.3489541
1973,,329.9089531
1974,,330.7559525
1975,,330.826952
1976,,331.54495099999997
1977,,333.35295010000004
1978,,335.0099494
1979,,336.60494839999996
1980,,338.7049479
1981,,340.0589478
1982,,340.6439474
1983,,342.26594730000005
1984,,344.0079495
1985,,345.4589538
1986,,346.9029481
1987,,348.7749474
1988,,351.2759329
1989,,352.89392139999995
1990,,354.07293010000006
1991,,355.3529349
1992,,356.2289489
1993,,356.9249589
1994,,358.2539622
1995,,360.2389564
1996,,362.00496150000004
1997,,363.2519618
1998,,365.932958
1999,,367.8449748
2000,,369.12498
2001,,370.6729901
2002,,372.8349943
2003,,375.410995
2004,,376.9870025
2005,,378.90700499999997
2006,,381.010007
2007,,382.6030247
2008,,384.7390186
2009,,386.280019
2010,,388.7170293
2011,,390.94401469999997
2012,,393.01599269999997
2013,,395.72497930000003
2014,,397.5469769
