Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2001,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248281235
2002,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.18060100699999998
2003,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.177817333
2004,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.17873261699999998
2005,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.167987725
2006,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.172379106
2007,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.200414096
2008,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.211517801
2009,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.22449431
2010,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.231629355
2011,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.140642151
2012,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.144958803
2013,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.17033014300000002
2014,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.12367473400000001
2015,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.067374487
2016,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.090782623
2017,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.11064847800000001
2018,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.09642090800000001
2001,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.25025164
2002,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.202270738
2003,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.16631785699999999
2004,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.19606248899999998
2005,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.167718733
2006,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.17402258899999998
2007,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.187483117
